T,T,L,L,L,W,L,T,W,T,
L,L,L,L,T,W,L,W,T,T,
L,L,L,T,L,L,L,W,L,L,
T,L,L,T,W,T,L,L,T,T,
L,T,T,T,L,L,W,T,W,T,
L,L,T,W,W,W,L,L,T,L,
T,L,L,W,W,W,W,L,W,W,
W,T,L,L,L,W,T,W,W,L,
W,T,W,T,T,T,T,T,W,W,
T,W,T,W,T,T,L,W,L,L,
W,W,L,L,T,W,W,T,L,L,
W,L,T,T,T,W,W,T,W,W,
T,T,T,W,L,T,W,L,W,W,
T,W,W,T,W,W,W,T,W,L,
L,L,L,T,T,L,L,L,T,W,
T,T,W,W,W,W,T,L,T,W,
W,L,W,L,W,W,W,T,T,T,
L,L,W,T,W,T,W,T,W,T,
W,W,T,W,L,W,L,L,W,W,
L,T,L,L,W,L,L,L,W,W,
W,T,T,W,L,T,L,W,T,T,
T,L,L,T,W,W,L,W,L,T,
T,L,T,L,L,W,W,T,T,W,
L,T,W,L,L,T,W,T,T,T,
T,W,T,W,T,L,L,W,W,L,
L,T,T,T,W,T,
