L,L,W,L,T,L,T,L,W,W,
T,W,W,T,W,W,W,T,W,W,
L,L,L,T,L,W,T,T,T,W,
W,W,W,W,W,T,L,L,W,W,
W,L,T,W,T,L,L,W,L,T,
T,W,W,T,W,L,W,T,T,W,
T,T,W,T,W,W,W,W,W,T,
W,W,T,W,T,W,L,T,W,L,
W,T,W,L,T,L,T,W,L,T,
W,W,W,W,L,T,L,W,L,W,
W,W,W,W,W,W,T,L,W,W,
W,W,T,L,L,W,T,W,W,T,
W,L,L,W,T,W,T,W,W,W,
W,T,W,L,T,T,W,W,L,W,
T,T,L,T,W,L,L,W,T,L,
T,W,T,L,L,T,W,L,L,W,
W,W,W,L,W,L,L,T,W,L,
W,T,T,L,T,W,L,W,W,W,
L,W,T,L,T,T,T,L,T,L,
W,L,T,W,W,T,W,W,W,W,
W,W,T,L,W,W,L,L,W,W,
T,T,T,W,T,T,W,T,W,T,
W,W,T,W,L,T,L,W,L,W,
W,T,T,W,T,L,T,L,W,W,
W,W,W,T,L,W,L,L,L,W,
T,T,W,W,W,T,
